,BILLED_DATE,ID,SERVICE_type,Unique ID check,NET_AMOUNT,INVOICESTATUS,COLLECTED,APPROVEDDATE,Service Name
39,01-07-2020 19:39,24,Test Service - 33,,1000,Settled,01-07-2020 19:39,01-07-2020 19:39,Location 15
40,02-07-2020 11:27,25,Test Service - 31,,0,Settled,02-07-2020 11:27,02-07-2020 11:27,Location 5
41,02-07-2020 12:05,26,Test Service - 31,,0,Settled,02-07-2020 12:05,02-07-2020 12:05,Location 8
42,02-07-2020 12:14,27,Test Service - 31,,0,Settled,02-07-2020 12:14,02-07-2020 12:14,Location 9
43,02-07-2020 12:19,28,Test Service - 31,,0,Settled,02-07-2020 12:19,02-07-2020 12:19,Location 1
44,02-07-2020 12:32,29,Test Service - 31,,0,Settled,02-07-2020 12:32,02-07-2020 12:32,Location 8
45,02-07-2020 13:05,30,Test Service - 31,,800,Settled,02-07-2020 13:05,02-07-2020 13:05,Location 1
46,02-07-2020 13:15,31,Test Service - 31,,800,Settled,02-07-2020 13:15,02-07-2020 13:15,Location 1
47,02-07-2020 13:26,32,Test Service - 31,,800,Settled,02-07-2020 13:26,02-07-2020 13:26,Location 1
48,02-07-2020 13:30,33,Test Service - 31,,800,Settled,02-07-2020 13:30,02-07-2020 13:30,Location 8
49,02-07-2020 13:34,34,Test Service - 33,,1000,Settled,02-07-2020 13:34,02-07-2020 13:34,Location 16
50,02-07-2020 14:21,35,Test Service - 31,,800,Settled,02-07-2020 14:21,02-07-2020 14:21,Location 1
51,02-07-2020 15:12,36,Test Service - 31,,0,Settled,02-07-2020 15:12,02-07-2020 15:12,Location 4
52,02-07-2020 15:35,37,Test Service - 31,,800,Settled,02-07-2020 15:35,02-07-2020 15:35,Location 1
53,02-07-2020 15:58,38,Test Service - 31,,800,Settled,02-07-2020 15:58,02-07-2020 15:58,Location 8
54,02-07-2020 17:04,39,Test Service - 31,,0,Settled,02-07-2020 17:04,02-07-2020 17:04,Location 1
55,02-07-2020 17:27,40,Test Service - 31,,720,Settled,02-07-2020 17:27,02-07-2020 17:27,Location 8
56,02-07-2020 18:01,32,Test Service - 31,,720,Settled,02-07-2020 18:01,02-07-2020 18:01,Location 1
57,02-07-2020 18:02,33,Test Service - 31,,0,Settled,02-07-2020 18:02,02-07-2020 18:02,Location 4
58,02-07-2020 18:07,34,Test Service - 31,,720,Settled,02-07-2020 18:07,02-07-2020 18:07,Location 4
59,02-07-2020 18:14,35,Test Service - 31,,720,Settled,02-07-2020 18:14,02-07-2020 18:14,Location 4
60,02-07-2020 18:16,36,Test Service - 31,,0,Settled,02-07-2020 18:16,02-07-2020 18:16,Location 4
61,02-07-2020 18:18,37,Test Service - 31,,800,Settled,02-07-2020 18:18,02-07-2020 18:18,Location 4
62,02-07-2020 18:18,38,Test Service - 31,,720,Settled,02-07-2020 18:18,02-07-2020 18:18,Location 4
63,02-07-2020 18:27,39,Test Service - 31,,0,Settled,02-07-2020 18:27,02-07-2020 18:27,Location 4
64,02-07-2020 18:32,40,Test Service - 31,,0,Settled,02-07-2020 18:32,02-07-2020 18:32,Location 4
65,02-07-2020 18:34,41,Test Service - 31,,0,Settled,02-07-2020 18:34,02-07-2020 18:34,Location 4
66,02-07-2020 18:42,42,Test Service - 31,,0,Settled,02-07-2020 18:42,02-07-2020 18:42,Location 4
67,02-07-2020 18:52,43,Test Service - 31,,0,Settled,02-07-2020 18:52,02-07-2020 18:52,Location 4
68,02-07-2020 18:58,44,Test Service - 31,,0,Settled,02-07-2020 18:58,02-07-2020 18:58,Location 4
69,02-07-2020 18:59,45,Test Service - 38,,1000,Settled,02-07-2020 18:59,02-07-2020 18:59,Location 3
70,02-07-2020 19:03,46,Test Service - 33,,1000,Settled,02-07-2020 19:03,02-07-2020 19:03,Location 16
71,02-07-2020 19:05,47,Test Service - 31,,800,Settled,02-07-2020 19:05,02-07-2020 19:05,Location 4
72,02-07-2020 19:22,48,Test Service - 32,,800,Settled,02-07-2020 19:22,02-07-2020 19:22,Location 13
73,02-07-2020 19:25,49,Test Service - 33,,1000,Settled,02-07-2020 19:25,02-07-2020 19:25,Location 16
74,02-07-2020 19:27,50,Test Service - 31,,800,Settled,02-07-2020 19:27,02-07-2020 19:27,Location 4
75,02-07-2020 19:36,51,Test Service - 31,,800,Settled,02-07-2020 19:36,02-07-2020 19:36,Location 4
76,02-07-2020 19:39,52,Test Service - 31,,0,Settled,02-07-2020 19:39,02-07-2020 19:39,Location 4
77,02-07-2020 19:42,53,Test Service - 31,,800,Settled,02-07-2020 19:42,02-07-2020 19:42,Location 5
78,03-07-2020 09:59,54,Test Service - 31,,800,Settled,03-07-2020 09:59,03-07-2020 09:59,Location 4
79,03-07-2020 10:06,55,Test Service - 31,,720,Settled,03-07-2020 10:06,03-07-2020 10:06,Location 5
80,03-07-2020 11:27,56,Test Service - 31,,0,Settled,03-07-2020 11:27,03-07-2020 11:27,Location 4
81,03-07-2020 11:38,57,Test Service - 31,,0,Settled,03-07-2020 11:38,03-07-2020 11:38,Location 4
82,03-07-2020 12:02,58,Test Service - 38,,1000,Settled,03-07-2020 12:02,03-07-2020 12:02,Location 3
83,03-07-2020 12:41,59,Test Service - 33,,1000,Settled,03-07-2020 12:41,03-07-2020 12:41,Location 16
84,03-07-2020 12:43,60,Test Service - 37,,1350,Settled,03-07-2020 12:43,03-07-2020 12:43,Location 7
85,03-07-2020 12:45,61,Test Service - 31,,0,Cancelled,03-07-2020 12:45,03-07-2020 12:45,Location 4
86,03-07-2020 14:12,62,Test Service - 31,,0,Settled,03-07-2020 14:12,03-07-2020 14:12,Location 4
87,03-07-2020 14:35,63,Test Service - 31,,720,Settled,03-07-2020 14:35,03-07-2020 14:35,Location 1
88,03-07-2020 14:47,64,Test Service - 33,,1000,Settled,03-07-2020 14:47,03-07-2020 14:47,Location 2
89,03-07-2020 16:41,65,Test Service - 31,,0,Settled,03-07-2020 16:41,03-07-2020 16:41,Location 4
90,03-07-2020 17:42,66,Test Service - 31,,800,Settled,03-07-2020 17:42,03-07-2020 17:42,Location 4
91,03-07-2020 17:43,67,Test Service - 38,,1000,Settled,03-07-2020 17:43,03-07-2020 17:43,Location 3
92,03-07-2020 17:44,68,Test Service - 31,,800,Settled,03-07-2020 17:44,03-07-2020 17:44,Location 4
93,03-07-2020 17:56,69,Test Service - 33,,1000,Settled,03-07-2020 17:56,03-07-2020 17:56,Location 2
94,03-07-2020 18:25,70,Test Service - 33,,1000,Settled,03-07-2020 18:25,03-07-2020 18:25,Location 15
95,03-07-2020 19:25,71,Test Service - 31,,720,Settled,03-07-2020 19:25,03-07-2020 19:25,Location 1
96,03-07-2020 19:25,72,Test Service - 31,,720,Settled,03-07-2020 19:25,03-07-2020 19:25,Location 1
97,03-07-2020 19:36,73,Test Service - 38,,1000,Settled,03-07-2020 19:36,03-07-2020 19:36,Location 3
98,03-07-2020 19:38,74,Test Service - 33,,1000,Settled,03-07-2020 19:38,03-07-2020 19:38,Location 16
99,04-07-2020 10:56,75,Test Service - 38,,1000,Settled,04-07-2020 10:56,04-07-2020 10:56,Location 3
100,04-07-2020 11:16,76,Test Service - 31,,800,Settled,04-07-2020 11:16,04-07-2020 11:16,Location 1
101,04-07-2020 11:32,77,Test Service - 31,,720,Settled,04-07-2020 11:32,04-07-2020 11:32,Location 1
102,04-07-2020 12:01,78,Test Service - 31,,720,Settled,04-07-2020 12:01,04-07-2020 12:01,Location 1
103,04-07-2020 12:12,79,Test Service - 31,,680,Settled,04-07-2020 12:12,04-07-2020 12:12,Location 1
104,04-07-2020 12:14,80,Test Service - 31,,-720,Cancelled,04-07-2020 12:14,04-07-2020 12:14,Location 1
105,04-07-2020 12:38,81,Test Service - 31,,800,Settled,04-07-2020 12:38,04-07-2020 12:38,Location 10
106,04-07-2020 12:40,82,Test Service - 31,,800,Settled,04-07-2020 12:40,04-07-2020 12:40,Location 10
107,04-07-2020 12:45,83,Test Service - 31,,720,Settled,04-07-2020 12:45,04-07-2020 12:45,Location 10
108,04-07-2020 12:47,84,Test Service - 31,,0,Settled,04-07-2020 12:47,04-07-2020 12:47,Location 10
109,04-07-2020 12:51,85,Test Service - 31,,800,Settled,04-07-2020 12:51,04-07-2020 12:51,Location 10
110,04-07-2020 12:58,86,Test Service - 31,,800,Settled,04-07-2020 12:58,04-07-2020 12:58,Location 10
111,04-07-2020 13:27,87,Test Service - 31,,800,Settled,04-07-2020 13:27,04-07-2020 13:27,Location 10
112,04-07-2020 14:20,88,Test Service - 31,,720,Settled,04-07-2020 14:20,04-07-2020 14:20,Location 10
113,04-07-2020 14:37,89,Test Service - 31,,800,Settled,04-07-2020 14:37,04-07-2020 14:37,Location 10
114,04-07-2020 14:39,11,Test Service - 31,,680,Settled,04-07-2020 14:39,04-07-2020 14:39,Location 10
115,04-07-2020 14:48,12,Test Service - 31,,720,Settled,04-07-2020 14:48,04-07-2020 14:48,Location 10
116,04-07-2020 15:08,13,Test Service - 31,,720,Settled,04-07-2020 15:08,04-07-2020 15:08,Location 10
117,04-07-2020 15:09,14,Test Service - 31,,800,Settled,04-07-2020 15:09,04-07-2020 15:09,Location 10
118,04-07-2020 15:16,15,Test Service - 33,,1000,Settled,04-07-2020 15:16,04-07-2020 15:16,Location 15
119,04-07-2020 16:23,16,Test Service - 33,,1000,Settled,04-07-2020 16:23,04-07-2020 16:23,Location 15
120,04-07-2020 16:29,17,Test Service - 31,,800,Settled,04-07-2020 16:29,04-07-2020 16:29,Location 10
121,04-07-2020 16:34,18,Test Service - 31,,800,Settled,04-07-2020 16:34,04-07-2020 16:34,Location 1
122,04-07-2020 16:42,19,Test Service - 31,,720,Settled,04-07-2020 16:42,04-07-2020 16:42,Location 1
123,04-07-2020 16:47,20,Test Service - 31,,720,Settled,04-07-2020 16:47,04-07-2020 16:47,Location 1
124,04-07-2020 17:09,21,Test Service - 31,,720,Settled,04-07-2020 17:09,04-07-2020 17:09,Location 1
125,04-07-2020 17:28,22,Test Service - 31,,720,Settled,04-07-2020 17:28,04-07-2020 17:28,Location 10
126,04-07-2020 17:31,23,Test Service - 31,,0,Settled,04-07-2020 17:31,04-07-2020 17:31,Location 1
127,04-07-2020 17:35,24,Test Service - 33,,1000,Settled,04-07-2020 17:35,04-07-2020 17:35,Location 15
128,04-07-2020 17:44,25,Test Service - 31,,720,Settled,04-07-2020 17:44,04-07-2020 17:44,Location 1
129,04-07-2020 17:49,26,Test Service - 31,,800,Settled,04-07-2020 17:49,04-07-2020 17:49,Location 1
130,04-07-2020 18:30,27,Test Service - 38,,1000,Settled,04-07-2020 18:30,04-07-2020 18:30,Location 3
131,04-07-2020 19:18,28,Test Service - 31,,720,Settled,04-07-2020 19:18,04-07-2020 19:18,Location 1
132,04-07-2020 19:41,29,Test Service - 31,,720,Settled,04-07-2020 19:41,04-07-2020 19:41,Location 1
133,05-07-2020 11:12,30,Test Service - 33,,1000,Settled,05-07-2020 11:12,05-07-2020 11:12,Location 16
134,05-07-2020 11:45,31,Test Service - 31,,600,Settled,05-07-2020 11:45,05-07-2020 11:45,Location 1
135,05-07-2020 12:04,32,Test Service - 33,,1000,Settled,05-07-2020 12:04,05-07-2020 12:04,Location 16
136,05-07-2020 12:19,33,Test Service - 33,,1000,Settled,05-07-2020 12:19,05-07-2020 12:19,Location 12
137,05-07-2020 12:54,34,Test Service - 38,,1000,Settled,05-07-2020 12:54,05-07-2020 12:54,Location 3
138,05-07-2020 14:28,35,Test Service - 31,,800,Settled,05-07-2020 14:28,05-07-2020 14:28,Location 10
139,05-07-2020 14:32,36,Test Service - 31,,800,Settled,05-07-2020 14:32,05-07-2020 14:32,Location 1
140,05-07-2020 15:05,37,Test Service - 31,,720,Settled,05-07-2020 15:05,05-07-2020 15:05,Location 1
141,05-07-2020 15:05,38,Test Service - 33,,1000,Settled,05-07-2020 15:05,05-07-2020 15:05,Location 16
142,05-07-2020 15:45,39,Test Service - 38,,1000,Settled,05-07-2020 15:45,05-07-2020 15:45,Location 3
143,05-07-2020 15:46,40,Test Service - 31,,800,Settled,05-07-2020 15:46,05-07-2020 15:46,Location 1
144,05-07-2020 15:48,41,Test Service - 31,,720,Settled,05-07-2020 15:48,05-07-2020 15:48,Location 1
145,05-07-2020 16:03,42,Test Service - 31,,800,Settled,05-07-2020 16:03,05-07-2020 16:03,Location 1
146,05-07-2020 16:49,43,Test Service - 31,,0,Settled,05-07-2020 16:49,05-07-2020 16:49,Location 9
147,05-07-2020 16:54,44,Test Service - 31,,0,Settled,05-07-2020 16:54,05-07-2020 16:54,Location 9
148,05-07-2020 17:12,45,Test Service - 31,,0,Settled,05-07-2020 17:12,05-07-2020 17:12,Location 9
149,05-07-2020 17:13,46,Test Service - 31,,0,Settled,05-07-2020 17:13,05-07-2020 17:13,Location 9
150,05-07-2020 17:30,47,Test Service - 31,,0,Settled,05-07-2020 17:30,05-07-2020 17:30,Location 9
151,05-07-2020 17:33,48,Test Service - 31,,0,Settled,05-07-2020 17:33,05-07-2020 17:33,Location 9
152,05-07-2020 17:36,49,Test Service - 31,,720,Settled,05-07-2020 17:36,05-07-2020 17:36,Location 9
153,05-07-2020 17:39,50,Test Service - 31,,720,Settled,05-07-2020 17:39,05-07-2020 17:39,Location 9
154,05-07-2020 17:49,51,Test Service - 31,,800,Settled,05-07-2020 17:49,05-07-2020 17:49,Location 9
155,05-07-2020 17:56,52,Test Service - 31,,800,Settled,05-07-2020 17:56,05-07-2020 17:56,Location 9
156,05-07-2020 17:59,53,Test Service - 31,,720,Settled,05-07-2020 17:59,05-07-2020 17:59,Location 9
157,05-07-2020 18:00,54,Test Service - 31,,0,Settled,05-07-2020 18:00,05-07-2020 18:00,Location 9
158,05-07-2020 18:03,55,Test Service - 33,,0,Settled,05-07-2020 18:03,05-07-2020 18:03,Location 2
159,05-07-2020 18:10,56,Test Service - 31,,0,Settled,05-07-2020 18:10,05-07-2020 18:10,Location 8
160,05-07-2020 18:12,57,Test Service - 34,,0,Settled,05-07-2020 18:12,05-07-2020 18:12,Location 6
161,05-07-2020 18:16,58,Test Service - 31,,800,Settled,05-07-2020 18:16,05-07-2020 18:16,Location 9
162,05-07-2020 18:49,59,Test Service - 31,,800,Settled,05-07-2020 18:49,05-07-2020 18:49,Location 9
163,05-07-2020 18:57,60,Test Service - 31,,800,Settled,05-07-2020 18:57,05-07-2020 18:57,Location 9
164,05-07-2020 19:10,61,Test Service - 31,,800,Settled,05-07-2020 19:10,05-07-2020 19:10,Location 8
165,05-07-2020 19:11,62,Test Service - 34,,1200,Settled,05-07-2020 19:11,05-07-2020 19:11,Location 6
166,05-07-2020 19:19,63,Test Service - 31,,720,Settled,05-07-2020 19:19,05-07-2020 19:19,Location 9
167,05-07-2020 19:21,64,Test Service - 31,,720,Settled,05-07-2020 19:21,05-07-2020 19:21,Location 8
168,05-07-2020 19:30,65,Test Service - 31,,800,Settled,05-07-2020 19:30,05-07-2020 19:30,Location 8
169,05-07-2020 19:43,66,Test Service - 31,,0,Settled,05-07-2020 19:43,05-07-2020 19:43,Location 8
170,06-07-2020 11:33,67,Test Service - 34,,1200,Settled,06-07-2020 11:33,06-07-2020 11:33,Location 6
171,06-07-2020 12:16,68,Test Service - 34,,1200,Settled,06-07-2020 12:16,06-07-2020 12:16,Location 6
172,06-07-2020 12:17,69,Test Service - 31,,800,Settled,06-07-2020 12:17,06-07-2020 12:17,Location 8
173,06-07-2020 12:52,70,Test Service - 31,,800,Settled,06-07-2020 12:52,06-07-2020 12:52,Location 8
174,06-07-2020 12:59,71,Test Service - 31,,680,Settled,06-07-2020 12:59,06-07-2020 12:59,Location 9
175,06-07-2020 13:12,72,Test Service - 34,,0,Settled,06-07-2020 13:12,06-07-2020 13:12,Location 6
176,06-07-2020 13:20,73,Test Service - 34,,1080,Settled,06-07-2020 13:20,06-07-2020 13:20,Location 6
177,06-07-2020 13:59,74,Test Service - 34,,1080,Settled,06-07-2020 13:59,06-07-2020 13:59,Location 6
178,06-07-2020 14:08,75,Test Service - 33,,1000,Settled,06-07-2020 14:08,06-07-2020 14:08,Location 16
179,06-07-2020 14:22,76,Test Service - 34,,1200,Settled,06-07-2020 14:22,06-07-2020 14:22,Location 6
180,06-07-2020 14:26,77,Test Service - 33,,0,Settled,06-07-2020 14:26,06-07-2020 14:26,Location 12
181,06-07-2020 14:47,78,Test Service - 34,,1200,Settled,06-07-2020 14:47,06-07-2020 14:47,Location 6
182,06-07-2020 14:49,79,Test Service - 38,,1000,Settled,06-07-2020 14:49,06-07-2020 14:49,Location 3
183,06-07-2020 15:10,80,Test Service - 33,,1000,Settled,06-07-2020 15:10,06-07-2020 15:10,Location 16
184,06-07-2020 15:26,81,Test Service - 34,,-1200,Cancelled,06-07-2020 15:26,06-07-2020 15:26,Location 6
185,06-07-2020 15:31,82,Test Service - 31,,800,Settled,06-07-2020 15:31,06-07-2020 15:31,Location 8
186,06-07-2020 15:40,83,Test Service - 33,,1000,Settled,06-07-2020 15:40,06-07-2020 15:40,Location 15
187,06-07-2020 15:44,84,Test Service - 31,,720,Settled,06-07-2020 15:44,06-07-2020 15:44,Location 8
188,06-07-2020 15:49,85,Test Service - 37,,1350,Settled,06-07-2020 15:49,06-07-2020 15:49,Location 7
189,06-07-2020 16:11,86,Test Service - 33,,1000,Settled,06-07-2020 16:11,06-07-2020 16:11,Location 12
190,06-07-2020 17:08,87,Test Service - 38,,0,Settled,06-07-2020 17:08,06-07-2020 17:08,Location 3
191,06-07-2020 17:12,88,Test Service - 31,,800,Settled,06-07-2020 17:12,06-07-2020 17:12,Location 8
192,06-07-2020 17:25,89,Test Service - 34,,0,Settled,06-07-2020 17:25,06-07-2020 17:25,Location 6
193,06-07-2020 17:33,90,Test Service - 31,,0,Settled,06-07-2020 17:33,06-07-2020 17:33,Location 1
194,06-07-2020 17:39,91,Test Service - 31,,720,Settled,06-07-2020 17:39,06-07-2020 17:39,Location 1
195,06-07-2020 18:14,92,Test Service - 31,,0,Settled,06-07-2020 18:14,06-07-2020 18:14,Location 1
196,06-07-2020 18:49,93,Test Service - 31,,0,Settled,06-07-2020 18:49,06-07-2020 18:49,Location 1
197,06-07-2020 19:27,94,Test Service - 31,,720,Settled,06-07-2020 19:27,06-07-2020 19:27,Location 1
198,06-07-2020 19:31,95,Test Service - 31,,0,Settled,06-07-2020 19:31,06-07-2020 19:31,Location 1
199,06-07-2020 19:44,96,Test Service - 31,,800,Settled,06-07-2020 19:44,06-07-2020 19:44,Location 1
200,07-07-2020 10:32,97,Test Service - 31,,800,Settled,07-07-2020 10:32,07-07-2020 10:32,Location 1
201,07-07-2020 10:42,98,Test Service - 31,,800,Settled,07-07-2020 10:42,07-07-2020 10:42,Location 1
202,07-07-2020 11:12,99,Test Service - 38,,1000,Settled,07-07-2020 11:12,07-07-2020 11:12,Location 3
203,07-07-2020 12:06,100,Test Service - 37,,1350,Settled,07-07-2020 12:06,07-07-2020 12:06,Location 7
204,07-07-2020 12:37,101,Test Service - 31,,0,Cancelled,07-07-2020 12:37,07-07-2020 12:37,Location 1
205,07-07-2020 12:43,102,Test Service - 31,,800,Settled,07-07-2020 12:43,07-07-2020 12:43,Location 1
206,07-07-2020 13:31,103,Test Service - 31,,800,Settled,07-07-2020 13:31,07-07-2020 13:31,Location 1
207,07-07-2020 14:13,104,Test Service - 35,,900,Settled,07-07-2020 14:13,07-07-2020 14:13,Location 14
208,07-07-2020 15:08,105,Test Service - 31,,0,Settled,07-07-2020 15:08,07-07-2020 15:08,Location 4
209,07-07-2020 15:23,106,Test Service - 31,,600,Settled,07-07-2020 15:23,07-07-2020 15:23,Location 4
210,07-07-2020 15:25,107,Test Service - 31,,800,Settled,07-07-2020 15:25,07-07-2020 15:25,Location 4
211,07-07-2020 15:35,108,Test Service - 31,,800,Settled,07-07-2020 15:35,07-07-2020 15:35,Location 1
212,07-07-2020 16:52,109,Test Service - 34,,1200,Settled,07-07-2020 16:52,07-07-2020 16:52,Location 6
213,07-07-2020 18:02,53,Test Service - 31,,0,Settled,07-07-2020 18:02,07-07-2020 18:02,Location 10
214,07-07-2020 18:19,54,Test Service - 31,,0,Settled,07-07-2020 18:19,07-07-2020 18:19,Location 10
215,07-07-2020 18:26,55,Test Service - 31,,680,Settled,07-07-2020 18:26,07-07-2020 18:26,Location 10
216,07-07-2020 18:34,56,Test Service - 31,,800,Settled,07-07-2020 18:34,07-07-2020 18:34,Location 1
217,07-07-2020 18:39,57,Test Service - 31,,720,Settled,07-07-2020 18:39,07-07-2020 18:39,Location 4
218,07-07-2020 18:50,58,Test Service - 34,,1200,Settled,07-07-2020 18:50,07-07-2020 18:50,Location 6
219,07-07-2020 18:58,59,Test Service - 34,,1080,Settled,07-07-2020 18:58,07-07-2020 18:58,Location 6
220,07-07-2020 19:00,60,Test Service - 34,,1080,Settled,07-07-2020 19:00,07-07-2020 19:00,Location 6
221,07-07-2020 19:02,61,Test Service - 34,,1200,Settled,07-07-2020 19:02,07-07-2020 19:02,Location 6
222,07-07-2020 19:04,62,Test Service - 31,,800,Settled,07-07-2020 19:04,07-07-2020 19:04,Location 4
223,07-07-2020 19:17,63,Test Service - 34,,1200,Settled,07-07-2020 19:17,07-07-2020 19:17,Location 6
224,08-07-2020 10:18,64,Test Service - 34,,1200,Settled,08-07-2020 10:18,08-07-2020 10:18,Location 6
225,08-07-2020 10:24,65,Test Service - 31,,800,Settled,08-07-2020 10:24,08-07-2020 10:24,Location 4
226,08-07-2020 10:32,66,Test Service - 31,,800,Settled,08-07-2020 10:32,08-07-2020 10:32,Location 10
227,08-07-2020 10:45,67,Test Service - 31,,800,Settled,08-07-2020 10:45,08-07-2020 10:45,Location 10
228,08-07-2020 11:12,68,Test Service - 31,,800,Settled,08-07-2020 11:12,08-07-2020 11:12,Location 10
229,08-07-2020 11:32,69,Test Service - 31,,800,Settled,08-07-2020 11:32,08-07-2020 11:32,Location 10
230,08-07-2020 12:43,70,Test Service - 33,,1000,Settled,08-07-2020 12:43,08-07-2020 12:43,Location 2
231,08-07-2020 13:12,123,Test Service - 31,,0,Settled,08-07-2020 13:12,08-07-2020 13:12,Location 4
232,08-07-2020 13:31,124,Test Service - 31,,800,Settled,08-07-2020 13:31,08-07-2020 13:31,Location 4
233,08-07-2020 13:33,125,Test Service - 31,,0,Settled,08-07-2020 13:33,08-07-2020 13:33,Location 10
234,08-07-2020 13:53,126,Test Service - 31,,0,Cancelled,08-07-2020 13:53,08-07-2020 13:53,Location 10
235,08-07-2020 14:14,127,Test Service - 31,,720,Settled,08-07-2020 14:14,08-07-2020 14:14,Location 4
236,08-07-2020 14:49,128,Test Service - 31,,720,Settled,08-07-2020 14:49,08-07-2020 14:49,Location 4
237,08-07-2020 14:58,129,Test Service - 31,,720,Settled,08-07-2020 14:58,08-07-2020 14:58,Location 10
238,08-07-2020 15:05,130,Test Service - 38,,1000,Settled,08-07-2020 15:05,08-07-2020 15:05,Location 3
239,08-07-2020 15:19,131,Test Service - 31,,800,Settled,08-07-2020 15:19,08-07-2020 15:19,Location 10
240,08-07-2020 15:30,132,Test Service - 33,,-1000,Cancelled,08-07-2020 15:30,08-07-2020 15:30,Location 2
